NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,DP05_0070E,DP02_0056E,DP02_0057E,DP04_0091E,DP03_0119PE
Geographic Area Name,Total Population,Average Family Size,LOTE,Mean Travel Time to Work,hispanic or latino,high school enrollment,college or graduate school enrollment,median mortgage status of owners with mortgage,Percent In Poverty
"Missouri Valley city, Iowa",2661,2.69,38,23.9,2661,164,102,433,15.1
"Woodbine city, Iowa",1673,2.89,16,17.4,1673,71,48,293,6
"Hampton city, Iowa",4311,2.86,843,14.4,4311,248,132,695,16.6
"Hansell city, Iowa",100,3.11,2,24.7,100,6,2,18,7.4
"Hills city, Iowa",656,2.57,1,19.1,656,16,25,117,4.8
"Pella city, Iowa",10243,2.93,546,10.7,10243,578,1553,1542,3.4
"Promise City city, Iowa",110,2.45,0,28.7,110,2,6,13,0
"Manson city, Iowa",1800,2.71,8,20.5,1800,72,57,302,10.2
"Truro city, Iowa",525,3.16,8,31.5,525,43,15,76,4.2
"Keystone city, Iowa",634,3.1,4,23.8,634,34,6,116,3.1
"Bouton city, Iowa",172,3.11,0,24.1,172,19,4,32,0
"Greene city, Iowa",1018,2.82,11,29.8,1018,43,32,174,5.3
"Plainfield city, Iowa",580,3.1,12,26.9,580,10,42,119,3.9
"Tripoli city, Iowa",1269,2.95,34,21.5,1269,106,11,236,7.3
"Woodward city, Iowa",1630,2.81,13,21.2,1630,278,69,235,6.2
"Mystic city, Iowa",382,3,2,24.8,382,5,2,60,12.4
"Carroll city, Iowa",9937,2.95,127,10.6,9937,503,410,1801,7.8
"Lidderdale city, Iowa",119,2.26,0,11.9,119,3,0,11,4.3
"Postville city, Iowa",2486,3.43,1155,15.5,2486,112,68,223,26.9
"Brandon city, Iowa",314,3.34,0,28.2,314,11,14,55,12.5
"Rowley city, Iowa",276,2.49,6,24.9,276,5,9,53,3.6
"Gillett Grove city, Iowa",34,1.91,0,10.9,34,3,0,0,9.1
"Greenville city, Iowa",79,2.38,0,14.6,79,9,1,4,0
"Atkins city, Iowa",1793,2.96,5,22.6,1793,101,84,434,3.7
"Lake City city, Iowa",1866,2.69,25,16.9,1866,83,32,260,15.3
"Yetter city, Iowa",32,2.78,0,N,32,0,0,0,55.6
"Belmond city, Iowa",2669,2.91,259,16.5,2669,81,76,421,10
"Woolstock city, Iowa",166,2.65,2,19,166,7,7,25,5
"Waverly city, Iowa",10052,2.95,409,15.2,10052,518,1854,1721,1.5
"Dexter city, Iowa",683,3.32,4,30.3,683,50,25,124,7.4
"Pulaski city, Iowa",315,3.06,16,24.3,315,13,4,55,2.2
"Earlham city, Iowa",1496,3.05,2,25.4,1496,124,38,352,5.4
"De Witt city, Iowa",5227,2.9,152,17.5,5227,411,520,977,6.4
"Lost Nation city, Iowa",491,2.62,0,27.6,491,18,11,60,16.7
"Lockridge city, Iowa",282,3.42,3,23,282,18,8,43,13.8
"Derby city, Iowa",100,2.84,1,29.8,100,4,3,21,16
"Bevington city, Iowa",51,4.3,0,28.2,51,11,0,3,0
"Decorah city, Iowa",7850,2.65,233,13.4,7850,228,2442,1099,6.6
"Early city, Iowa",682,2.88,6,20.7,682,52,56,91,15
"Mount Auburn city, Iowa",119,2.71,0,28.6,119,4,3,24,3.2
"Jolley city, Iowa",27,2.67,0,N,27,0,0,2,0
"Defiance city, Iowa",223,2.6,7,25.1,223,11,5,33,9.7
"Earling city, Iowa",428,2.94,2,23.8,428,19,12,62,0.9
"Elk Horn city, Iowa",538,2.73,9,15.8,538,34,8,84,5.5
"Portsmouth city, Iowa",156,2.61,0,20,156,3,14,32,0
"Sioux Center city, Iowa",7450,3.1,635,9.2,7450,260,1215,1151,4.5
"Carson city, Iowa",747,3.11,8,27,747,14,48,130,5.9
"Gladbrook city, Iowa",931,2.78,24,24.6,931,44,33,189,3.7
"Neola city, Iowa",916,3.21,3,29.2,916,49,40,155,5.6
"Delhi city, Iowa",478,2.57,9,23.3,478,20,12,115,5
"Burt city, Iowa",556,3.22,4,14.6,556,37,20,88,13.1
"Traer city, Iowa",1646,2.93,37,23.6,1646,78,50,254,1.6
"Stanley city, Iowa",141,3.79,2,30.2,141,8,6,16,11.8
"Fertile city, Iowa",370,2.77,10,22.3,370,12,15,73,0
"Fairbank city, Iowa",1174,2.73,13,25.5,1174,35,47,269,4.2
"Fayette city, Iowa",1112,2.79,153,11.3,1112,43,506,87,5.7
"Larchwood city, Iowa",896,3.01,45,20.5,896,52,13,173,3.1
"Varina city, Iowa",76,3.5,9,19.4,76,11,0,0,33.3
"Mechanicsville city, Iowa",1020,2.64,16,29.9,1020,42,62,230,0
"Holiday Lake CDP, Iowa",356,2.14,0,44.9,356,0,0,100,7.6
"Stone City CDP, Iowa",300,3.45,0,44.9,300,34,0,32,0
"Miller CDP, Iowa",0,-,0,-,0,0,0,0,-
"Hayfield CDP, Iowa",56,3.21,0,N,56,0,8,14,0
"Hutchins CDP, Iowa",25,2,0,N,25,0,0,12,0
"Duncan CDP, Iowa",94,-,10,N,94,0,0,22,-
"Burr Oak CDP, Iowa",242,3.45,0,19.2,242,20,0,46,0
"Weston CDP, Iowa",97,1.96,0,N,97,0,0,35,0
"South Amana CDP, Iowa",110,1.88,11,N,110,0,2,50,0
"West Amana CDP, Iowa",269,1.68,0,24.3,269,0,0,8,0
"High Amana CDP, Iowa",72,2.76,0,N,72,0,0,11,0
"Middle Amana CDP, Iowa",626,2.71,59,19.1,626,52,18,116,0
"Amana CDP, Iowa",390,2.42,34,20.5,390,35,3,84,0
"Loveland CDP, Iowa",41,3.15,0,N,41,0,0,0,0
"Bentley CDP, Iowa",104,2.42,0,23.5,104,6,0,43,0
"Rochester CDP, Iowa",45,-,0,N,45,0,0,0,-
"Kent CDP, Iowa",26,4.33,0,N,26,6,0,0,0
"Garden City CDP, Iowa",91,2.09,0,29.4,91,5,0,28,15.6
"Beaverdale CDP, Iowa",1265,3.44,0,19.9,1265,64,16,169,14.6
"Mineola CDP, Iowa",155,4.04,3,N,155,19,0,42,0
"River Sioux CDP, Iowa",112,3.22,0,41.4,112,0,0,24,59.4
"California Junction CDP, Iowa",56,2.24,0,N,56,0,0,5,0
"Frytown CDP, Iowa",38,1.9,0,-,38,0,0,0,0
"Bradford CDP, Iowa",56,2.04,0,N,56,0,0,11,0
"Chapin CDP, Iowa",155,3.14,0,N,155,0,0,3,0
"Sun Valley Lake CDP, Iowa",270,2.07,6,26.3,270,4,0,79,5.3
"Washburn CDP, Iowa",800,2.47,0,15.4,800,98,0,248,0
"Otranto CDP, Iowa",9,-,0,-,9,0,0,0,-
"New Haven CDP, Iowa",58,4.89,0,N,58,0,0,9,0
"Mona CDP, Iowa",123,3.66,0,N,123,0,10,0,0
"Meyer CDP, Iowa",12,1.71,0,N,12,0,0,7,0
"Little Cedar CDP, Iowa",17,-,0,-,17,0,0,0,-
"Roseville CDP, Iowa",0,-,0,-,0,0,0,0,-
"Twin Lakes CDP, Iowa",208,2.05,0,20.7,208,13,0,66,9.1
"Lake Panorama CDP, Iowa",1086,2.56,0,38.3,1086,75,41,269,0
"Diamondhead Lake CDP, Iowa",355,3.15,35,30.7,355,33,32,75,0
"Sheldahl city, Iowa",288,2.6,0,22.2,288,13,1,66,8.3
"Princeton city, Iowa",1130,3.22,11,27.1,1130,40,46,253,6
"La Motte city, Iowa",221,2.4,4,28.3,221,5,2,40,3.7
"Maquoketa city, Iowa",5954,2.74,28,20,5954,306,216,1002,12.5
"Preston city, Iowa",1021,2.7,7,22.6,1021,80,28,164,6.9
"Sabula city, Iowa",450,2.56,2,21.6,450,7,28,94,1.6
"Zwingle city, Iowa",106,2.78,1,27.1,106,0,3,16,13
"New Market city, Iowa",430,2.39,3,17.8,430,22,2,98,8
"Moorland city, Iowa",221,2.84,5,17.4,221,12,10,47,11.5
"Vincent city, Iowa",146,2.5,13,22.7,146,2,5,25,4.8
"Marengo city, Iowa",2770,2.82,140,18.3,2770,183,146,461,9.6
"Ayrshire city, Iowa",147,3.7,3,16.8,147,16,9,17,8.7
"Mallard city, Iowa",247,2.36,1,19.1,247,3,4,36,9.3
"Ames city, Iowa",65005,2.78,8531,16.4,65005,1518,29369,6159,4.1
"St. Anthony city, Iowa",56,3,0,37,56,0,1,10,18.8
"Dixon city, Iowa",173,3.19,2,28.7,173,10,8,35,0
"New Liberty city, Iowa",164,3.43,0,26.6,164,7,2,28,5.4
"Castana city, Iowa",93,2.63,0,31.8,93,5,3,10,16.7
"Melrose city, Iowa",164,2.55,3,29,164,6,6,34,3.6
"Clear Lake city, Iowa",7612,2.73,260,17.3,7612,250,213,1361,6.1
"Meservey city, Iowa",189,2.28,0,33,189,3,7,31,10.8
"Bellevue city, Iowa",2315,2.66,21,20.5,2315,60,105,377,6.3
"St. Donatus city, Iowa",122,2.35,0,21.6,122,3,0,22,0
"Chariton city, Iowa",4162,2.67,146,15.5,4162,218,158,664,10.6
"Melvin city, Iowa",258,3,29,20.5,258,7,8,56,4.3
"Sibley city, Iowa",2659,2.85,247,19.1,2659,186,84,293,13
"Indianola city, Iowa",15489,2.89,370,21,15489,676,1926,2841,6.5
"Duncombe city, Iowa",313,2.49,1,18.2,313,7,25,47,12.8
"Lehigh city, Iowa",395,2.5,6,26.5,395,14,3,40,11.9
"Wallingford city, Iowa",190,2.65,0,19,190,17,14,31,8.2
"Imogene city, Iowa",36,4,2,41.7,36,3,0,12,0
"Woden city, Iowa",263,2.89,18,30,263,14,6,33,31.6
"Gibson city, Iowa",36,2.75,0,24.3,36,1,1,2,0
"Kinross city, Iowa",48,2.31,0,33.9,48,1,2,20,0
"Richland city, Iowa",631,2.86,0,20.7,631,57,25,139,2.1
"Searsboro city, Iowa",219,3.12,0,18.5,219,18,3,35,20
"Emmetsburg city, Iowa",3783,2.87,260,13.2,3783,107,405,627,0
"Grant city, Iowa",100,3.05,3,27.4,100,12,0,9,27.3
"Diagonal city, Iowa",378,2.82,8,22.3,378,23,7,27,12.5
"Kellerton city, Iowa",305,2.68,6,25.7,305,7,12,41,19.4
"Collins city, Iowa",462,3.27,7,28.5,462,25,29,74,6.9
"Persia city, Iowa",334,3.13,12,29.1,334,19,12,48,10.2
"Franklin city, Iowa",172,2.49,0,26.8,172,7,5,40,0
"Badger city, Iowa",528,2.81,0,17.3,528,42,11,106,1.9
"Colo city, Iowa",858,3.18,5,21,858,59,30,149,6.6
"Gilbert city, Iowa",1197,3.3,28,22,1197,92,40,257,4.4
"Ferguson city, Iowa",148,2.91,0,25,148,2,6,27,2.9
"Liscomb city, Iowa",322,2.95,2,24,322,18,6,62,13.5
"Correctionville city, Iowa",832,3.04,25,27.1,832,46,12,136,7.8
"Sioux City city, Iowa",82568,3.16,13908,16.9,82568,4275,5441,11786,10.6
"Dallas Center city, Iowa",1941,2.96,29,22.9,1941,100,90,449,3.8
"Chillicothe city, Iowa",101,2.34,0,35.1,101,6,5,17,18.8
"Fremont city, Iowa",710,2.93,1,22.9,710,39,29,120,15.4
"Webb city, Iowa",177,3.08,14,19.6,177,12,2,26,0
"Boone city, Iowa",12538,3,383,18.6,12538,640,856,2348,5.8
"Terril city, Iowa",386,2.28,4,20.6,386,13,12,75,12.2
"Bertram city, Iowa",344,2.88,14,21.2,344,34,6,67,2
"Nichols city, Iowa",403,2.84,66,25.2,403,31,11,77,0
"Northboro city, Iowa",43,2.58,0,32.6,43,1,0,5,16.7
"Grand Junction city, Iowa",918,2.98,0,21.8,918,58,63,151,19.5
"Carlisle city, Iowa",4069,3.19,33,23.2,4069,206,142,813,3.4
"Knierim city, Iowa",53,4,0,18.3,53,2,0,10,0
"Sheldon city, Iowa",5060,2.71,371,12.9,5060,350,187,728,11.4
"Halbur city, Iowa",274,3.33,0,15.6,274,12,8,44,0
"University Park city, Iowa",527,3.6,6,15.3,527,31,55,70,12.7
"Frederika city, Iowa",305,3.43,6,22,305,15,21,59,11.1
"Somers city, Iowa",133,3.32,4,25.8,133,4,4,19,14.3
"Rossie city, Iowa",58,2.35,0,13.9,58,1,6,11,23.5
"Galt city, Iowa",44,2.83,0,26.4,44,1,0,6,0
"Garwin city, Iowa",482,2.85,11,22.2,482,52,22,120,3.2
"Malcom city, Iowa",285,2.62,1,16,285,18,16,55,0
"Ventura city, Iowa",791,3.05,10,24.4,791,19,53,191,0.5
"Luzerne city, Iowa",129,2.88,0,28,129,2,5,18,0
"Shellsburg city, Iowa",973,2.96,6,26.9,973,50,45,205,9.6
"Orient city, Iowa",417,3.08,3,19.5,417,18,13,65,12.2
"Fredericksburg city, Iowa",1240,2.79,38,15.8,1240,99,25,212,3.6
"Lawler city, Iowa",342,2.46,5,21.8,342,4,2,46,0
"Nashua city, Iowa",1550,2.75,10,24.3,1550,79,59,333,6.9
"North Washington city, Iowa",160,3.04,8,14.7,160,22,6,21,2.2
"Arnolds Park city, Iowa",1086,2.16,56,15.4,1086,30,99,221,14.8
"Spirit Lake city, Iowa",4967,2.59,103,11.7,4967,106,272,1060,4.3
"Charlotte city, Iowa",304,2.91,18,24.5,304,4,10,65,12.2
"Wheatland city, Iowa",791,3.42,5,30.9,791,68,15,122,12.4
"Marble Rock city, Iowa",304,2.84,7,25.8,304,22,14,44,2.3
"Batavia city, Iowa",651,3.75,4,18.2,651,20,25,105,17.2
"Patterson city, Iowa",197,2.96,2,37.1,197,6,6,41,3.8
"Shenandoah city, Iowa",4977,2.93,266,10.6,4977,305,207,917,13.2
"West Chester city, Iowa",74,2.48,3,23.1,74,2,3,11,4.3
"Corning city, Iowa",1581,2.62,25,16.2,1581,82,43,267,7.8
"Cincinnati city, Iowa",355,3.24,4,19.5,355,25,3,64,11.6
"Plano city, Iowa",54,2.53,0,21.9,54,5,1,7,10.5
"Allison city, Iowa",1224,3.1,63,21.7,1224,90,17,247,4.3
"Parkersburg city, Iowa",1972,2.93,22,23.9,1972,106,74,349,6.9
"Wadena city, Iowa",266,2.93,5,22.8,266,7,3,43,20.3
"Kellogg city, Iowa",695,2.98,16,21.2,695,38,24,132,7.6
"Sully city, Iowa",844,2.83,2,18.4,844,39,34,126,10.9
"Andover city, Iowa",93,2.73,0,17.9,93,14,7,18,0
"Toronto city, Iowa",121,2.94,0,39.9,121,8,0,24,11.8
"Colwell city, Iowa",81,3.32,0,20.5,81,12,8,11,36.8
"Pleasant Plain city, Iowa",72,2.79,0,18.5,72,1,0,12,0
"Brighton city, Iowa",555,2.82,9,24.3,555,18,19,95,11
"St. Charles city, Iowa",760,3.02,10,32.8,760,43,36,154,6.3
"Blanchard city, Iowa",19,2,0,25,19,0,0,3,0
"Hepburn city, Iowa",15,2.5,0,13.2,15,1,0,4,0
"Shambaugh city, Iowa",182,2.87,0,12,182,28,5,17,12.7
"Yorktown city, Iowa",73,2.43,2,24.4,73,0,0,5,10.7
"Coppock city, Iowa",40,2.46,1,43.2,40,0,0,1,0
"Wellman city, Iowa",1359,2.88,49,24.1,1359,38,42,264,5.8
"Dakota City city, Iowa",751,2.75,31,13.6,751,47,22,149,3.2
"Ottosen city, Iowa",54,2.47,2,25.1,54,4,0,5,23.5
"Aplington city, Iowa",1064,2.83,40,27.5,1064,43,51,216,9.2
"Packwood city, Iowa",313,3.2,3,20.8,313,13,12,42,3.8
"Washington city, Iowa",7358,2.79,536,17.2,7358,479,220,1128,10.8
"Bode city, Iowa",308,2.67,18,20.9,308,5,12,61,11.5
"Lewis city, Iowa",444,2.66,7,28.2,444,21,8,85,11.7
"Marne city, Iowa",128,2.72,0,26.7,128,10,6,15,4.7
"Dickens city, Iowa",225,2.91,10,17.5,225,22,3,48,17.2
"Moulton city, Iowa",689,3.02,3,17.6,689,33,23,68,24
"Unionville city, Iowa",74,2.18,0,34.2,74,0,4,2,4.5
"Clinton city, Iowa",25892,2.91,734,15.8,25892,1328,1166,4305,11.6
"Goose Lake city, Iowa",241,3.39,3,26.6,241,20,14,55,3.4
"Welton city, Iowa",133,3.38,0,33.2,133,10,6,28,0
"Center Junction CDP, Iowa",91,2.23,0,20.8,91,1,0,10,4.5
"Irvington CDP, Iowa",0,-,0,-,0,0,0,0,-
"St. Joseph CDP, Iowa",154,4.81,6,14.9,154,6,0,8,25
"St. Benedict CDP, Iowa",18,2.33,0,N,18,0,4,6,0
"Sexton CDP, Iowa",42,3.82,0,N,42,0,0,11,0
"Green Mountain CDP, Iowa",128,2.68,8,14.5,128,0,9,33,5.4
"Jacksonville CDP, Iowa",21,-,0,-,21,0,0,0,-
"Corley CDP, Iowa",31,2.1,0,N,31,0,0,10,0
"Athelstan CDP, Iowa",10,2,0,N,10,0,0,0,0
"Watkins CDP, Iowa",136,2.67,0,N,136,0,0,23,0
"Bolan CDP, Iowa",9,-,0,-,9,0,0,0,-
"Climbing Hill CDP, Iowa",152,3.65,0,N,152,19,0,54,0
"Homestead CDP, Iowa",194,3.69,0,29.2,194,0,0,51,0
"East Amana CDP, Iowa",11,1.83,0,N,11,0,0,0,0
"Conroy CDP, Iowa",293,2.15,8,19.4,293,19,15,85,0
"Mount Sterling CDP, Iowa",49,2.33,2,N,49,0,0,19,0
"Le Roy city, Iowa",4,2,0,-,4,0,0,0,0
"Randall city, Iowa",188,2.85,16,21.5,188,16,6,46,13.2
"Coon Rapids city, Iowa",1329,3,66,23.7,1329,106,47,147,8.1
"Walford city, Iowa",1396,3.14,3,23.3,1396,90,56,357,1
"Pierson city, Iowa",397,3.59,11,29,397,22,15,55,8.5
"Atalissa city, Iowa",308,3.31,12,22,308,20,5,67,1.2
"Brunsville city, Iowa",96,2.46,1,19.1,96,1,4,35,0
"Cushing city, Iowa",208,2.78,2,21.8,208,3,4,25,3.2
"Salix city, Iowa",349,2.91,6,18.5,349,15,12,76,5.6
"Oxford Junction city, Iowa",412,2.57,0,35,412,17,10,58,17.6
"Wyoming city, Iowa",385,2.63,6,29.3,385,38,15,84,12.2
"Alvord city, Iowa",260,3.14,28,22.3,260,11,16,58,2.7
"Little Rock city, Iowa",463,2.72,16,18.6,463,36,24,71,5.1
"Fonda city, Iowa",515,3.05,38,26.6,515,27,17,78,16.9
"Gilmore City city, Iowa",454,2.62,8,21,454,23,14,54,4.7
"Palmer city, Iowa",171,3.09,10,19.7,171,3,8,17,8.6
"Pocahontas city, Iowa",1701,2.72,4,14.6,1701,66,47,236,4.9
"Clarence city, Iowa",888,2.92,48,32.6,888,58,30,132,4.2
"Decatur City city, Iowa",196,2.93,8,22.7,196,3,9,22,10.7
"Weldon city, Iowa",165,2.28,8,29.3,165,4,3,16,17.2
"Numa city, Iowa",101,2.88,0,13.6,101,6,4,17,4
"Beaver city, Iowa",77,3.94,0,33.2,77,10,1,13,0
"Fraser city, Iowa",150,3.24,0,28.8,150,13,6,23,8.1
"Paullina city, Iowa",989,2.6,41,19.3,989,50,9,193,4.6
"Sanborn city, Iowa",1409,2.8,39,16.6,1409,67,66,272,2.9
"Kirkville city, Iowa",177,2.74,0,28.6,177,7,4,36,1.7
"Baldwin city, Iowa",138,2.9,0,19.4,138,8,1,36,0
"Newhall city, Iowa",1024,2.75,16,26,1024,62,43,192,1.2
"Milo city, Iowa",853,2.95,3,31.7,853,28,33,190,8.1
"Hartford city, Iowa",783,3.09,0,29.1,783,65,24,204,4
"Lake Mills city, Iowa",2049,2.87,48,16.1,2049,107,72,328,4.3
"Belle Plaine city, Iowa",2546,2.93,33,22.3,2546,95,59,399,9
"Blairstown city, Iowa",702,2.72,66,28.2,702,19,16,132,12.4
"Lohrville city, Iowa",344,2.77,7,22.3,344,16,9,46,5.7
"Rinard city, Iowa",45,3.56,2,23.3,45,6,6,12,0
"Cherokee city, Iowa",5018,2.74,186,13.2,5018,261,80,686,17.7
"Arthur city, Iowa",258,2.74,0,18.7,258,2,5,40,1.3
"Aurora city, Iowa",192,2.96,9,30.7,192,16,0,27,14
"Lamont city, Iowa",538,2.96,2,22.7,538,48,7,103,10
"Ackley city, Iowa",1729,2.84,189,18.9,1729,78,58,255,6.4
"Radcliffe city, Iowa",588,2.89,28,22.4,588,41,8,106,7.1
"Algona city, Iowa",5488,2.65,119,9.4,5488,232,153,1052,1
"Whittemore city, Iowa",476,2.67,2,18,476,20,2,90,7.2
"Clutier city, Iowa",220,2.69,13,32.6,220,8,12,59,7.7
"Toledo city, Iowa",2201,3.02,372,20.3,2201,188,33,358,16
"Albert City city, Iowa",620,2.77,41,17.9,620,23,31,110,4
"Alta city, Iowa",2188,2.98,292,16.1,2188,136,94,348,7.9
"North Buena Vista city, Iowa",98,2.37,0,41.8,98,8,0,13,6.7
"St. Olaf city, Iowa",154,3.6,4,27,154,7,11,21,0
"Cresco city, Iowa",3793,2.85,110,12.9,3793,177,79,726,11.2
"Columbus City city, Iowa",474,3.4,225,22,474,13,24,109,4.9
"Calumet city, Iowa",170,2.79,0,17.8,170,4,11,45,7.1
"Sutherland city, Iowa",619,2.49,3,21.6,619,28,7,91,7.5
"Treynor city, Iowa",898,3.04,6,29.4,898,37,36,197,2.3
"Chatsworth city, Iowa",74,2.8,0,23.1,74,7,0,4,10
"Hull city, Iowa",2058,2.97,263,12.3,2058,97,77,368,7.2
"Maurice city, Iowa",333,3.17,72,15.1,333,27,5,49,2.2
"Council Bluffs city, Iowa",62317,3.06,4841,18.6,62317,3262,4260,9951,9.9
"Walnut city, Iowa",673,2.72,0,25.5,673,36,27,119,3.1
"Andrew city, Iowa",463,2.99,3,26.2,463,16,11,71,17.3
"Quimby city, Iowa",381,2.76,2,22.2,381,16,12,58,10.9
"Galva city, Iowa",381,3.07,29,22.4,381,15,19,64,12.7
"Ida Grove city, Iowa",2160,2.65,21,18.1,2160,108,94,324,13.8
"Lacona city, Iowa",423,2.89,5,34.7,423,20,19,86,22.4
"Spillville city, Iowa",462,3.19,14,22.6,462,14,26,97,1
"Scarville city, Iowa",76,2.38,0,21.5,76,6,2,10,11.5
"Castalia city, Iowa",200,2.65,2,20.6,200,12,2,33,7.3
"Ridgeway city, Iowa",235,2.6,6,25,235,14,10,49,0
"Auburn city, Iowa",252,2.87,4,15.7,252,21,8,29,13
"Odebolt city, Iowa",1017,2.82,6,16.9,1017,79,51,170,3.6
"Wall Lake city, Iowa",788,2.9,9,15.8,788,47,8,114,8.8
"Eddyville city, Iowa",1337,3.3,10,20.5,1337,129,71,200,12.7
"Holy Cross city, Iowa",335,2.65,3,31.7,335,11,8,66,0
"New Vienna city, Iowa",396,2.59,0,23.6,396,29,16,80,5.1
"Battle Creek city, Iowa",746,2.85,34,21.1,746,22,14,130,1
"Winthrop city, Iowa",891,2.96,7,19,891,48,17,171,6.1
"Marathon city, Iowa",251,2.9,40,23.8,251,7,5,28,24.6
"Garber city, Iowa",124,3.23,0,25.8,124,8,1,25,6.5
"Thornton city, Iowa",471,2.83,7,27.7,471,18,9,87,14.1
"Waucoma city, Iowa",225,2.81,0,20.9,225,10,11,34,11.3
"Van Wert city, Iowa",186,2.52,8,29.6,186,9,3,40,0
"Silver City city, Iowa",223,2.96,8,33,223,5,11,45,2.9
"Stanwood city, Iowa",595,3.01,9,33.6,595,48,13,107,1.9
"Fontanelle city, Iowa",641,2.44,8,22.7,641,14,6,142,6.4
"Bagley city, Iowa",342,3.21,3,37.1,342,15,11,47,11.7
"Pleasanton city, Iowa",18,3,0,N,18,0,0,5,33.3
"Lu Verne city, Iowa",293,2.64,8,22.1,293,9,1,36,30
"Walcott city, Iowa",1469,2.76,52,21.6,1469,89,44,226,5
"Hopkinton city, Iowa",532,2.66,4,19.4,532,21,10,101,8.1
"Macksburg city, Iowa",109,2.14,2,28,109,6,0,20,22.2
"Mount Union city, Iowa",121,2.82,0,24.3,121,2,0,28,27.3
"Peterson city, Iowa",328,2.81,3,23.8,328,25,5,67,12.4
"Clarksville city, Iowa",1413,3,0,22.1,1413,39,47,213,6
"Perry city, Iowa",7747,3.21,2450,19.1,7747,473,345,1036,11.4
"Drakesville city, Iowa",188,2.77,0,29.1,188,3,6,27,13.2
"Rowan city, Iowa",185,2.78,1,18.8,185,29,1,16,29.1
"Calamus city, Iowa",435,3.11,2,28.2,435,24,24,81,5.3
"Houghton city, Iowa",149,2.7,0,31,149,8,1,26,8
"Red Oak city, Iowa",5475,2.62,286,15.3,5475,247,51,824,22.7
"Solon city, Iowa",2485,3.49,97,21.3,2485,198,159,501,7.5
"Harpers Ferry city, Iowa",231,2.15,0,26.2,231,6,12,48,0
"Clare city, Iowa",190,2.89,1,22,190,7,11,26,0
"Buffalo city, Iowa",1188,2.81,18,20.6,1188,91,11,302,0.9
"McCausland city, Iowa",337,3.1,8,21.9,337,13,22,82,6.1
"Maysville city, Iowa",198,2.56,2,27.8,198,9,3,32,11.1
"Panorama Park city, Iowa",88,2.54,2,17.6,88,1,4,17,8.3
"Blencoe city, Iowa",243,3.04,2,23,243,6,12,37,11.9
"Albia city, Iowa",3766,3.05,30,18.9,3766,164,106,393,9.1
"Guernsey city, Iowa",59,2.75,0,14.6,59,6,0,10,18.8
"Montezuma city, Iowa",1480,3.01,0,16.1,1480,65,39,251,9.7
"Victor city, Iowa",946,2.91,23,17.8,946,47,25,139,5.4
"Lime Springs city, Iowa",477,2.87,18,24.1,477,34,15,100,0
"Morning Sun city, Iowa",912,3.1,5,23.8,912,59,32,134,2.2
"Agency city, Iowa",605,2.65,2,21.9,605,54,17,128,6.3
"Mason City city, Iowa",27453,2.85,1047,14.8,27453,1496,1434,4282,8.8
"Dana city, Iowa",48,2.79,3,35.2,48,0,2,2,14.3
"Colesburg city, Iowa",462,2.73,6,28.2,462,19,17,94,10.3
"Alden city, Iowa",814,3.09,45,15,814,38,29,122,5.9
"Elberon city, Iowa",199,3.31,4,28.3,199,10,5,32,12.5
"Sidney city, Iowa",1032,3.02,77,21.8,1032,94,30,192,18.4
"Thurman city, Iowa",183,3.42,0,33.1,183,28,2,34,20.9
"Sigourney city, Iowa",2008,2.73,51,17.4,2008,85,145,343,5.2
"Orchard city, Iowa",57,2.19,0,24.1,57,0,0,26,0
"Alleman city, Iowa",437,2.96,15,23.2,437,33,27,102,0.7
"Mitchellville city, Iowa",2258,2.97,6,25.3,2258,92,100,323,7.5
"West Des Moines city, Iowa",62999,2.99,7916,17.2,62999,3188,4094,12087,4.2
"Tingley city, Iowa",178,2.95,0,17.7,178,2,3,29,22.7
"Rodman city, Iowa",46,3,0,16,46,3,0,3,22.2
"Charles City city, Iowa",7427,2.84,562,16.4,7427,450,245,1204,19.6
"Rudd city, Iowa",364,2.57,5,20.8,364,18,25,59,15.1
"Fairfield city, Iowa",10125,2.96,1418,10.6,10125,523,1823,1082,8.2
"New Hartford city, Iowa",661,3.54,0,23.3,661,37,9,98,8.4
"Malvern city, Iowa",1023,2.78,1,26.5,1023,32,47,212,4.5
"Adair city, Iowa",855,2.7,31,18.4,855,35,23,135,9.5
"Jamaica city, Iowa",220,3.02,39,29.5,220,19,11,22,9.4
"Bradgate city, Iowa",55,2.38,0,19,55,1,0,7,9.5
"Humboldt city, Iowa",4589,2.87,280,18.3,4589,166,149,701,11.8
"Anamosa city, Iowa",5420,2.78,265,24.9,5420,185,189,795,9.6
"Hastings city, Iowa",175,3.72,1,29.8,175,8,12,19,11.1
"Henderson city, Iowa",193,3.32,2,36,193,1,11,28,14
"Manly city, Iowa",1393,2.79,42,19.3,1393,87,62,229,16.9
"Northwood city, Iowa",2034,2.92,44,20.3,2034,76,40,376,12
"Arlington city, Iowa",496,2.77,5,24.8,496,20,16,91,16.1
"Clermont city, Iowa",562,2.72,26,24.3,562,33,11,106,10.8
"Maynard city, Iowa",492,2.95,4,17.5,492,21,35,92,10.6
"Colfax city, Iowa",1908,2.97,29,25.2,1908,171,116,405,5.9
"Lambs Grove city, Iowa",216,2.98,1,22.6,216,0,2,43,3.2
"Lynnville city, Iowa",437,2.84,3,18.3,437,25,16,101,3.1
