NAME,DP05_0001E,DP02_0016E,DP02_0112E,DP03_0025E,DP05_0070E,DP02_0056E,DP02_0057E,DP04_0091E,DP03_0119PE
Geographic Area Name,Total Population,Average Family Size,LOTE,Mean Travel Time to Work,hispanic or latino,high school enrollment,college or graduate school enrollment,median mortgage status of owners with mortgage,Percent In Poverty
"Pflugerville city, Texas",58013,3.39,14643,27.5,58013,3447,3391,11926,4.7
"K-Bar Ranch CDP, Texas",542,4.39,110,35.9,542,163,50,0,0
"Benjamin city, Texas",238,3.07,18,13.3,238,0,9,14,25.9
"De Leon city, Texas",2292,2.98,470,29.6,2292,85,64,269,17.2
"West University Place city, Texas",15477,3.23,2087,20.1,15477,983,750,2838,1.6
"Humble city, Texas",15736,3.52,4989,27.2,15736,511,838,1627,16.5
"Hunters Creek Village city, Texas",4749,3.18,681,18.6,4749,476,199,832,0
"Post city, Texas",5568,3.02,2894,15.7,5568,298,68,292,12.6
"Fairfield city, Texas",2918,3.19,445,21.7,2918,215,78,400,13.7
"Fredericksburg city, Texas",11046,3.06,2166,14.5,11046,451,219,1294,10.7
"Willis city, Texas",6333,3.58,1979,29.7,6333,400,278,338,8.9
"Union Grove city, Texas",371,3.71,18,22.7,371,39,17,65,21.1
"Madisonville city, Texas",4578,3.07,1164,16.3,4578,278,106,527,18.1
"Agua Dulce CDP, Texas",3212,4.49,2811,39.6,3212,280,164,217,44.7
"Rangerville village, Texas",47,2.4,37,N,47,0,0,0,0
"North Cleveland city, Texas",221,3.49,51,22.2,221,10,1,14,38.3
"Prosper town, Texas",17107,3.6,2089,34,17107,1492,802,3569,2.4
"St. Paul town, Texas",1038,3.44,209,34.7,1038,50,59,229,5.3
"Ore City city, Texas",1219,3.44,90,21.8,1219,113,12,113,15.2
"Ingleside on the Bay city, Texas",777,2.89,53,24.1,777,45,38,133,2.5
"Lake City town, Texas",470,2.76,97,36,470,32,16,60,15.2
"Noonday city, Texas",644,2.95,79,24.5,644,11,16,132,7.1
"Del Rio city, Texas",35951,3.74,23317,18.3,35951,1989,1564,3130,19.1
"Box Canyon CDP, Texas",79,3,56,N,79,0,0,18,30.4
"Amistad CDP, Texas",13,2,2,N,13,0,0,2,0
"Mi Ranchito Estate CDP, Texas",397,3.93,292,N,397,0,10,0,63.4
"Santel CDP, Texas",0,-,0,-,0,0,0,0,-
"La Escondida CDP, Texas",31,3.1,31,-,31,0,0,0,100
"El Brazil CDP, Texas",33,1.94,33,-,33,0,0,0,0
"La Carla CDP, Texas",210,8.4,124,N,210,16,17,0,0
"Sammy Martinez CDP, Texas",113,5.38,97,N,113,31,0,0,0
"Martinez CDP, Texas",0,-,0,-,0,0,0,0,-
"El Rancho Vela CDP, Texas",595,6.13,496,33.1,595,46,29,34,15.6
"Valle Hermoso CDP, Texas",0,-,0,-,0,0,0,0,-
"El Mesquite CDP, Texas",0,-,0,-,0,0,0,0,-
"Elias-Fela Solis CDP, Texas",8,-,8,-,8,0,0,0,-
"Alto Bonito Heights CDP, Texas",193,3.78,193,-,193,7,0,0,29.4
"East Alto Bonito CDP, Texas",929,4.3,889,22.6,929,63,31,14,31.2
"La Paloma Ranchettes CDP, Texas",326,5,308,22.4,326,41,0,0,44.1
"Delmita CDP, Texas",138,3.66,128,50.9,138,4,15,9,25
"Buena Vista CDP, Texas",189,5.11,155,N,189,18,11,0,89.2
"Moraida CDP, Texas",45,3.27,45,N,45,14,0,11,0
"Pena CDP, Texas",70,7,70,N,70,24,0,0,100
"San Juan CDP, Texas",73,6.7,73,N,73,12,13,8,100
"Santa Anna CDP, Texas",51,3.31,51,N,51,0,0,13,0
"Eugenio Saenz CDP, Texas",140,3.15,140,N,140,6,0,6,15.4
"Olmito and Olmito CDP, Texas",220,5.64,220,N,220,43,0,0,7.7
"Gutierrez CDP, Texas",85,2.13,85,N,85,45,0,0,0
"El Castillo CDP, Texas",281,6.88,252,N,281,52,0,0,50
"Mikes CDP, Texas",687,4.64,635,N,687,41,0,7,71.7
"Canyon Creek CDP, Texas",1630,4.07,86,51.1,1630,42,27,243,31.5
"Cedar Point CDP, Texas",824,2.49,66,33.4,824,35,25,100,5.8
"Indian Springs CDP, Texas",718,3.38,14,N,718,24,0,15,71.3
"Pleasant Hill CDP, Texas",816,3.38,435,23.9,816,69,34,31,16.3
"Cape Royale CDP, Texas",610,1.99,64,35.5,610,0,45,112,0
"Oakhurst CDP, Texas",288,2.91,0,N,288,0,0,57,35.4
"Port O'Connor CDP, Texas",1070,2.93,32,31.3,1070,0,51,127,4
"Lantana CDP, Texas",9503,3.51,1141,34.4,9503,882,589,2297,0.5
"Paloma Creek CDP, Texas",4123,3.83,291,37.8,4123,140,304,703,5.4
"Paloma Creek South CDP, Texas",6406,3.28,728,38.7,6406,363,502,1679,7.7
"Savannah CDP, Texas",4601,3.34,469,42.9,4601,339,245,1228,3
"Valle Vista CDP, Texas",464,6.54,429,N,464,16,0,0,60.6
"Rivereno CDP, Texas",19,-,19,-,19,0,0,0,-
"Burton city, Texas",484,3.73,17,27.5,484,7,0,36,5.5
"Manchaca CDP, Texas",1031,3.53,274,32.2,1031,0,24,204,0
"Hornsby Bend CDP, Texas",7124,3.82,3140,33.2,7124,517,520,1345,9.5
"Callender Lake CDP, Texas",1294,3.34,17,27.3,1294,25,38,132,3.6
"Myrtle Springs CDP, Texas",395,2.65,0,N,395,0,0,48,14
"Chilton CDP, Texas",743,3.88,338,26.9,743,14,44,48,11.2
"Sherwood Shores CDP, Texas",1259,3.05,40,35.4,1259,28,0,224,4.8
"Preston CDP, Texas",1438,2.61,15,22.6,1438,16,19,218,12.7
"Valley View city, Texas",941,3.34,92,25.2,941,76,48,143,4
"Ivanhoe city, Texas",1381,2.8,93,30.5,1381,94,29,222,24.4
"CÃ©sar ChÃ¡vez CDP, Texas",1442,3.73,1140,26.9,1442,102,0,244,26.8
"Coyote Flats city, Texas",373,3.02,23,29.1,373,20,4,47,14.2
"Graford city, Texas",686,4.01,120,31.2,686,89,14,53,12.6
"Presidio city, Texas",4103,3.66,3778,21.2,4103,398,22,241,22.9
"Redford CDP, Texas",93,5.47,55,N,93,6,0,0,100
"Austwell city, Texas",134,2.12,19,31.8,134,0,0,8,10
"Prairie View city, Texas",6286,3.59,595,18.8,6286,108,5343,38,29.9
"Electra city, Texas",2716,2.57,195,21,2716,119,35,346,17.1
"Iowa Park city, Texas",6363,2.95,134,17.5,6363,250,344,1213,6
"Scotland city, Texas",503,3.77,85,23.8,503,40,30,51,7.3
"Windthorst town, Texas",355,2.78,95,15.2,355,13,10,28,4.6
"Hereford city, Texas",15003,3.74,7434,12.4,15003,1210,915,1359,15.5
"Damon CDP, Texas",370,3.04,13,32.6,370,48,10,42,27.8
"Brookshire city, Texas",5087,3.75,2077,17.5,5087,348,146,301,21.1
"Pleasant Valley town, Texas",380,3.22,1,18.4,380,34,13,64,2.1
"Cleburne city, Texas",29595,3.3,6291,24.7,29595,1486,1402,3193,12.2
"Grandview city, Texas",1895,3.27,376,28.4,1895,105,63,241,17.4
